phase1-water,phase1-methanol,phase1-limonene,phase2-water,phase2-methanol,phase2-limonene
0.9024,0.0976,0.0000,0.0052,0.0046,0.9902
0.8180,0.1820,0.0000,0.0052,0.0084,0.9864
0.7057,0.2942,0.0001,0.0056,0.0116,0.9828
0.6053,0.3945,0.0002,0.0055,0.0165,0.9780
0.4881,0.5111,0.0008,0.0052,0.0247,0.9701
0.3873,0.6104,0.0023,0.0056,0.0301,0.9643
0.2995,0.6954,0.0051,0.0061,0.0419,0.9520
0.2037,0.7837,0.0126,0.0055,0.0607,0.9338
0.1493,0.8314,0.0193,0.0054,0.0819,0.9127
0.1071,0.8629,0.0300,0.0055,0.1049,0.8896
0.0352,0.9023,0.0625,0.0052,0.1767,0.8181
